Trajectory_ID,Time_Index,ID_LV,Type_LV,Pos_LV,Speed_LV,Acc_LV,ID_FAV,Pos_FAV,Speed_FAV,Acc_FAV,Spatial_Gap,Spatial_Headway,Speed_Diff
116,2.9,-1,0,89.96442855,20.21214485,-0.064983368,0,58.14423513,19.96134186,0.646820068,26.9694823,31.82019341,0.250802994
116,3,-1,0,91.94751503,20.20564651,-0.073928833,0,60.14360342,20.02602386,-1.079750061,26.93781106,31.8039116,0.17962265
116,3.1,-1,0,93.91779189,20.19825363,-0.009384155,0,62.14080706,19.91804886,3.81155014,26.90259828,31.77698483,0.280204773
116,3.2,-1,0,95.9400095,20.19731522,-0.096321106,0,64.15166969,20.29920387,-3.90920639,26.90697474,31.7883398,-0.101888657
116,3.3,-1,0,97.92249276,20.18768311,-0.079936981,0,66.16204405,19.90828323,0.680751801,26.87564374,31.76044871,0.279399872
116,3.4,-1,0,99.89660349,20.17968941,-0.037784576,0,68.15627613,19.97635841,2.740211487,26.87262654,31.74032736,0.203330994
116,3.5,-1,0,101.9151871,20.17591095,-0.088996887,0,70.16761303,20.25037956,-1.756534576,26.87305115,31.74757408,-0.074468613
116,3.6,-1,0,103.9220933,20.16701126,-0.063076019,0,72.18386831,20.0747261,-2.00296402,26.85340502,31.738225,0.092285156
116,3.7,-1,0,105.8913027,20.16070366,-0.022830963,0,74.1813261,19.8744297,1.699180603,26.8324207,31.70997655,0.286273956
116,3.8,-1,0,107.8756191,20.15842056,-0.010986328,0,76.17726498,20.04434776,2.39616394,26.82089154,31.69835417,0.1140728
116,3.9,-1,0,109.9039137,20.15732193,-0.065689087,0,78.19368057,20.28396416,-1.66009903,26.83816611,31.71023309,-0.126642227
116,4,-1,0,111.9196476,20.15075302,-0.070133209,0,80.21377649,20.11795425,1.413650513,26.82815627,31.70587115,0.032798767
116,4.1,-1,0,113.9480961,20.1437397,-0.019493103,0,82.23264017,20.25931931,-2.536640167,26.83948609,31.71545598,-0.115579605
